Title,Author,Link
Kulliyat-e-Meer,Mir Taqi Mir,https://archive.org/details/KulliyatEMeer-MeerTaqiMeer/page/n613/mode/2up
Gulzar-i-Naseem,Daya Shankar Naseem,https://archive.org/details/dli.ernet.435537/page/n11/mode/2up
Kulliyat-i-Insha Allah Khan,Insha Allah Khan,https://archive.org/details/in.ernet.dli.2015.397946/page/n3/mode/2up
Kulliyat-i-Nazeer Akberabadi,Nazeer Akberabadi,https://archive.org/details/dli.ernet.241405/mode/2up
Khutoot-i-Ghalib,Mirza Ghalib,https://archive.org/details/in.ernet.dli.2015.415872/page/n341/mode/2up
Sahr-ul-bayan,Mir Hasan,https://archive.org/details/MasnaviESehrUl-Bayan-MirHasanDehlavi/page/n3/mode/2up
Marasi-i-Anees, Mir Anees,https://archive.org/details/dli.ernet.424919/mode/2up
Marasi-i-Dabeer,Mirza Dabeer,https://archive.org/details/in.ernet.dli.2015.449707/page/n7/mode/2up
Mazameen-i-Sir Syed,Sir Syed Ahmad Khan,https://archive.org/details/dli.ernet.430687/page/n11/mode/2up
Pyaar Ka Pehla Shehar,Mustansar Hussain Tarar,https://archive.org/details/PyarKaPehlaSheharByMustansarHussainTararWww.pakistanipoint.com/page/n1/mode/2up
100 Saal baad,Nasim Hijazi,download
Shahab Nama,Qudratullah Shahab,https://archive.org/details/shahab-nama-by-qudrat-ullah-shahab_202311/page/n5/mode/2up
Urdu ke Akhri Kitab,Ibn e Insha,https://archive.org/details/urdu-ki-aakhri-kitab/page/n5/mode/2up
Aab e gum ,Mushtaq Ahmed Yousafi,https://archive.org/details/20201123_20201123_2140/page/n1/mode/2up
Main nay dhaka doobtay dekha ,Siddiq Salik,https://archive.org/details/MainNeDhakaDoobteDekhaBySiddiqSalik/page/n83/mode/2up
Haman Yaran Dozukh,Siddiq Salik,https://archive.org/details/hamah-yaraan-dozakh_202503
Haalim,Nemrah Ahmed,https://archive.org/details/haalim-novel-pdf-by-nimra-ahmed/page/n3/mode/2up
Raja Gidh ,Bano Qudsia,download
Mirat-ul-Uroos,Deputy Nazeer Ahmed,download
Umrao Jaan Ada ,Mirza Hadi Ruswa,download
Binat-ul-Nash,Deputy Nazeer Ahmed,https://archive.org/details/in.ernet.dli.2015.498588/page/n11/mode/2up
Aangan ,Khadija Mastoor,download
Ajaibaat-e-Farang,Yusuf Khan Kambalposh,https://archive.org/details/AjaibaatEFarang/page/n5/mode/2up
Amrit Sagar,N/A,https://archive.org/details/AmritSagarUrduRamKumarBookDepot/mode/2up
Asrar-e-Khudi,Allama Iqbal,download
Payam-e-Mashriq ,Allama Iqbal,https://archive.org/details/PayamEMashriqByAllamahMuhammadIqbalr.a/mode/2up
Bal-e-Jibreel,Allama Iqbal,https://archive.org/details/BaalEJibrilByAllamaIqbalUrduShairi.com/page/n5/mode/2up
Armaghan-e-Hijaz,Allama Iqbal,https://archive.org/details/ArmaghanEHijazByAllamahMuhammadIqbalr.a/mode/2up
Diwan-e-Faiz,Faiz Ahmed Faiz,https://archive.org/details/in.ernet.dli.2015.397838/page/n1/mode/2up
Naqsh-e-Faryadi,Faiz Ahmed Faiz,https://archive.org/details/naqshifaryadi00faizuoft/page/n111/mode/2up
Aab-e-Hayat,Muhammad Husain Azad,https://archive.org/details/Aab-e-hayatByMohammedHussainAzad/page/n9/mode/2up
Khuda Ki Basti ,Shaukat Siddiqui,https://archive.org/details/kkb-by-ss/page/n7/mode/2up
Guzishta Lakhnau,Abdul Halim Sharar,https://archive.org/details/nMGq_guzashta-lucknow-by-maulana-abdul-halim-sharar-ed.-rashid-hasan-khan-new-delhi-1/mode/2up
Firdaus-e-Bareen, Abdul Halim Sharar,https://archive.org/details/FirdausEBareen/mode/2up
Ek Chadar Maili Si , Rajinder Singh Bedi,download
Toba Tek Singh,Saadat Hasan Manto,download
Thanda Gosht,Saadat Hasan Manto,https://archive.org/details/ThandaGoshtBySaadatHassanManto/page/n3/mode/2up
works of Krishan Chander,,
Tilisma Khayal,Krishan Chander,https://archive.org/details/dli.ernet.545013/page/n7/mode/2up
Gaddar,Krishan Chander,https://archive.org/details/GhaddarByKrishanChander/page/n5/mode/2up
Zarguzasht,Mushtaq Ahmed Yousufi,https://archive.org/details/ZarguzashtByYousufi2/page/n1/mode/2up
Charagh Talay,Mushtaq Ahmed Yousufi,https://archive.org/details/ChiragTaleUrduMushtaqAhmedYusufi/page/n5/mode/2up
Loh-e-Ayyam,Mukhtar Masood,https://archive.org/details/LauhEAyyam-MukhtarMasood/mode/2up